===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-05-17 16:55:53
count workspace : c:\Users\bigol\Desktop\repos\dh-unit\Project\Assets
total files : 3261
total code lines : 610316
total comment lines : 13463
total blank lines : 12214

Cirrus.meta, code is 8, comment is 0, blank is 0.
Cirrus\Collections.meta, code is 8, comment is 0, blank is 0.
Cirrus\Collections\DoublyLinkedList.cs, code is 136, comment is 17, blank is 20.
Cirrus\Collections\DoublyLinkedList.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Collections\Pool.cs, code is 37, comment is 0, blank is 5.
Cirrus\Collections\Pool.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_.meta, code is 8, comment is 0, blank is 0.
Cirrus\Editor_\ColorBlock.cs, code is 31, comment is 0, blank is 6.
Cirrus\Editor_\ColorBlock.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\ColorLabelAttributePropertyDrawer.cs, code is 30, comment is 0, blank is 9.
Cirrus\Editor_\ColorLabelAttributePropertyDrawer.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\ConditionalHidePropertyDrawer.cs, code is 85, comment is 10, blank is 26.
Cirrus\Editor_\ConditionalHidePropertyDrawer.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes.meta, code is 8, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\AllowSceneObjectsAttribute.cs, code is 11, comment is 0, blank is 2.
Cirrus\Editor_\CustomAttributes\AllowSceneObjectsAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\ArrayControlOptionsAttribute.cs, code is 16, comment is 2, blank is 2.
Cirrus\Editor_\CustomAttributes\ArrayControlOptionsAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\CategoryAttribute.cs, code is 20, comment is 1, blank is 3.
Cirrus\Editor_\CustomAttributes\CategoryAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\ConditionalHideAttribute.cs, code is 36, comment is 3, blank is 9.
Cirrus\Editor_\CustomAttributes\ConditionalHideAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\CustomSerializationAttribute.cs, code is 8, comment is 0, blank is 2.
Cirrus\Editor_\CustomAttributes\CustomSerializationAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\EmphasisAttribute.cs, code is 12, comment is 4, blank is 5.
Cirrus\Editor_\CustomAttributes\EmphasisAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\EnumFlagAttribute.cs, code is 7, comment is 3, blank is 3.
Cirrus\Editor_\CustomAttributes\EnumFlagAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\ForceStandardObjectPickerAttribute.cs, code is 12, comment is 0, blank is 2.
Cirrus\Editor_\CustomAttributes\ForceStandardObjectPickerAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\HideGroupAttribute.cs, code is 20, comment is 1, blank is 3.
